final_canonical_tag,canonical_tag,cluster,tag
0 . 7,0 . 7,3765,0 . 7
0 . 7,0 . 7,3765,0 . 71
0 . 7,0 . 7,3765,0 . 75
0 . 7,0 . 0,3766,0 . 0
0 . 7,0 . 0,3766,0 . 01
0 . 7,0 . 0,3766,1 . 0
0 . 7,0 . 8,3768,0 . 8
0 . 7,0 . 8,3768,0 . 9
0 . 7,0 . 3,3769,0 . 3
0 . 7,0 . 3,3769,0 . 5
0 . 7,0 . 4,3771,0 . 4
0 . 7,0 . 4,3771,0 . 45
0 . 7,0 . 1,23731,0 . 1
0 . 7,0 . 2,24503,0 . 2
0 . 7,0 . 6,24623,0 . 6
1 . 2,1 . 2,25493,1 . 2
100 % viscose,100 % viscose,1172,100 % viscose
100 % viscose,100 % viscose,1172,100% viscose
100 % viscose,viscose,1175,viscose
100 % viscose,viscose,1175,viscose blend
100 % viscose,viscose,1175,viscose pst
100% chanderi,100% chanderi,24358,100% chanderi
100% chanderi,mal chanderi,24781,mal chanderi
100% chanderi,r s chanderi,25517,r s chanderi
100% handloom cotton,100% handloom cotton,4991,100% handloom cotton
100% handloom cotton,100% handloom cotton,4991,100% pure handloom cotton
100% liva viscose rayon staple,100% liva viscose rayon staple,2184,100% liva viscose rayon staple
100% liva viscose rayon staple,100% liva viscose rayon staple,2184,viscose rayon staple
100% man made fiber,100% man made fiber,25540,100% man made fiber
100% najneen,100% najneen,24548,100% najneen
100% organic cotton,100% organic cotton,3276,100% organic cotton
100% organic cotton,100% organic cotton,3276,organic cotton
100% pst,100% pst,665,100% pst
100% pst,100% pst,665,pst
100% viscose rayon,100% viscose rayon,3516,100% viscose rayon
100% viscose rayon,100% viscose rayon,3516,viscose rayon
100% viscose rayon,premium viscose rayon,23710,premium viscose rayon
100% viscose rayon,rayon viscose,24350,rayon viscose
100% viscose rayon,viscose rayon yarn dyed,25016,viscose rayon yarn dyed
1009 . 0,1009 . 0,3895,1001 . 0
1009 . 0,1009 . 0,3895,1002 . 0
1009 . 0,1009 . 0,3895,1003 . 0
1009 . 0,1009 . 0,3895,1004 . 0
1009 . 0,1009 . 0,3895,1005 . 0
1009 . 0,1009 . 0,3895,1006 . 0
1009 . 0,1009 . 0,3895,1007 . 0
1009 . 0,1009 . 0,3895,1008 . 0
1009 . 0,1009 . 0,3895,1009 . 0
1009 . 0,1009 . 0,3895,10099 . 0
1009 . 0,1000 . 0,22997,1000 . 0
1013 . 0,1013 . 0,4767,1013 . 0
1013 . 0,1013 . 0,4767,1014 . 0
1013 . 0,1013 . 0,4767,1015 . 0
1013 . 0,1013 . 0,4767,1016 . 0
1013 . 0,1012 . 0,23105,1012 . 0
1013 . 0,1010 . 0,24026,1010 . 0
1013 . 0,1017 . 0,24416,1017 . 0
1013 . 0,1011 . 0,25153,1011 . 0
1022 . 0,1022 . 0,4778,1022 . 0
1022 . 0,1022 . 0,4778,1023 . 0
1022 . 0,1022 . 0,4778,1024 . 0
1022 . 0,1022 . 0,4778,1025 . 0
1022 . 0,1022 . 0,4778,1026 . 0
1022 . 0,1022 . 0,4778,1028 . 0
1022 . 0,1022 . 0,4778,1029 . 0
1022 . 0,1020 . 0,23193,1020 . 0
1022 . 0,10200 . 0,23479,10200 . 0
1022 . 0,1021 . 0,23860,1021 . 0
1022 . 0,1027 . 0,25987,1027 . 0
1031 . 0,1031 . 0,4679,1031 . 0
1031 . 0,1031 . 0,4679,1041 . 0
1031 . 0,1031 . 0,4679,1051 . 0
1031 . 0,1031 . 0,4679,1061 . 0
1031 . 0,1031 . 0,4679,1081 . 0
1031 . 0,1031 . 0,4679,1091 . 0
10395 . 0,10133 . 0,4727,10133 . 0
10395 . 0,10133 . 0,4727,10138 . 0
10395 . 0,10133 . 0,4727,10157 . 0
10395 . 0,10170 . 0,4728,10170 . 0
10395 . 0,10170 . 0,4728,10175 . 0
10395 . 0,10395 . 0,4738,10395 . 0
10395 . 0,10395 . 0,4738,10699 . 0
10395 . 0,10395 . 0,4738,10904 . 0
10395 . 0,10395 . 0,4738,10953 . 0
10395 . 0,10395 . 0,4738,10985 . 0
10395 . 0,10494 . 0,4739,10494 . 0
10395 . 0,10494 . 0,4739,10499 . 0
10395 . 0,10624 . 0,4745,10624 . 0
10395 . 0,10624 . 0,4745,10625 . 0
10395 . 0,10658 . 0,4746,10658 . 0
10395 . 0,10658 . 0,4746,10659 . 0
10395 . 0,10658 . 0,4746,10685 . 0
10395 . 0,10950 . 0,23464,10950 . 0
10395 . 0,10799 . 0,24264,10799 . 0
10395 . 0,10575 . 0,24505,10575 . 0
10395 . 0,10429 . 0,24684,10429 . 0
10395 . 0,10350 . 0,24737,10350 . 0
10395 . 0,10999 . 0,25387,10999 . 0
10395 . 0,10199 . 0,25584,10199 . 0
10395 . 0,10990 . 0,25735,10990 . 0
10395 . 0,10402 . 0,25941,10402 . 0
1043 . 0,1043 . 0,4816,1043 . 0
1043 . 0,1043 . 0,4816,1044 . 0
1043 . 0,1043 . 0,4816,1045 . 0
1043 . 0,1043 . 0,4816,1046 . 0
1043 . 0,1048 . 0,4817,1048 . 0
1043 . 0,1048 . 0,4817,1049 . 0
1043 . 0,1040 . 0,23261,1040 . 0
1043 . 0,1047 . 0,24417,1047 . 0
1043 . 0,1042 . 0,25103,1042 . 0
1063 . 0,1060 . 0,4802,1060 . 0
1063 . 0,1060 . 0,4802,1080 . 0
1063 . 0,1062 . 0,4823,1062 . 0
1063 . 0,1062 . 0,4823,1082 . 0
1063 . 0,1068 . 0,4829,1068 . 0
1063 . 0,1068 . 0,4829,1069 . 0
1063 . 0,1063 . 0,4838,1063 . 0
1063 . 0,1063 . 0,4838,1064 . 0
1063 . 0,1063 . 0,4838,1065 . 0
1063 . 0,1063 . 0,4838,1066 . 0
1063 . 0,1053 . 0,4843,1053 . 0
1063 . 0,1053 . 0,4843,1054 . 0
1063 . 0,1053 . 0,4843,1056 . 0
1063 . 0,1058 . 0,4844,1058 . 0
1063 . 0,1058 . 0,4844,1059 . 0
1063 . 0,1034 . 0,4846,1034 . 0
1063 . 0,1034 . 0,4846,1038 . 0
1063 . 0,1034 . 0,4846,1039 . 0
1063 . 0,1050 . 0,23136,1050 . 0
1063 . 0,1055 . 0,23880,1055 . 0
1063 . 0,1067 . 0,24275,1067 . 0
1070 . 0,10710 . 0,4723,10710 . 0
1070 . 0,10710 . 0,4723,10730 . 0
1070 . 0,1070 . 0,4771,1070 . 0
1070 . 0,1070 . 0,4771,1073 . 0
1070 . 0,1070 . 0,4771,1074 . 0
1070 . 0,1070 . 0,4771,1075 . 0
1070 . 0,1078 . 0,4772,1078 . 0
1070 . 0,1078 . 0,4772,1079 . 0
1070 . 0,1072 . 0,23457,1072 . 0
1070 . 0,10700 . 0,24051,10700 . 0
1070 . 0,1071 . 0,24272,1071 . 0
1070 . 0,1077 . 0,24336,1077 . 0
1083 . 0,1018 . 0,4766,1018 . 0
1083 . 0,1018 . 0,4766,1019 . 0
1083 . 0,1088 . 0,4815,1088 . 0
1083 . 0,1088 . 0,4815,1089 . 0
1083 . 0,1083 . 0,4837,1083 . 0
1083 . 0,1083 . 0,4837,1084 . 0
1083 . 0,1083 . 0,4837,1085 . 0
1083 . 0,1083 . 0,4837,1086 . 0
1083 . 0,1033 . 0,4845,1033 . 0
1083 . 0,1033 . 0,4845,1035 . 0
1083 . 0,1033 . 0,4845,1036 . 0
1083 . 0,1087 . 0,23161,1087 . 0
1083 . 0,1030 . 0,23627,1030 . 0
1083 . 0,1090 . 0,23896,1090 . 0
1083 . 0,1032 . 0,24613,1032 . 0
1083 . 0,1052 . 0,26031,1052 . 0
1093 . 0,1098 . 0,4825,1098 . 0
1093 . 0,1098 . 0,4825,1099 . 0
1093 . 0,1093 . 0,4836,1093 . 0
1093 . 0,1093 . 0,4836,1094 . 0
1093 . 0,1093 . 0,4836,1095 . 0
1093 . 0,1093 . 0,4836,1096 . 0
1093 . 0,1092 . 0,23481,1092 . 0
1093 . 0,1097 . 0,23873,1097 . 0
1093 . 0,1057 . 0,23968,1057 . 0
1093 . 0,1037 . 0,25011,1037 . 0
11 . 0,10 . 5,3857,10 . 5
11 . 0,10 . 5,3857,10 . 8
11 . 0,10 . 5,3857,10 . 9
11 . 0,11 . 0,3933,11 . 0
11 . 0,11 . 0,3933,13 . 0
11 . 0,11 . 0,3933,14 . 0
11 . 0,11 . 0,3933,15 . 0
11 . 0,11 . 0,3933,16 . 0
11 . 0,11 . 0,3933,18 . 0
11 . 0,11 . 0,3933,19 . 0
11 . 0,10 . 0,23032,10 . 0
11 . 0,17 . 0,23870,17 . 0
11 . 0,12 . 0,24315,12 . 0
11 . 81,11 . 81,3903,11 . 64
11 . 81,11 . 81,3903,11 . 81
11 . 81,11 . 81,3903,11 . 82
11 . 81,11 . 81,3903,11 . 88
11 . 81,13 . 34,3905,13 . 34
11 . 81,13 . 34,3905,13 . 43
11 . 81,13 . 34,3905,14 . 33
11 . 81,18 . 9,3911,18 . 9
11 . 81,18 . 9,3911,19 . 8
11 . 81,11 . 07,4020,11 . 07
11 . 81,11 . 07,4020,12 . 06
11 . 81,11 . 07,4020,15 . 01
11 . 81,11 . 8,23845,11 . 8
11 . 81,15 . 85,25157,15 . 85
1103 . 0,1103 . 0,4927,1103 . 0
1103 . 0,1103 . 0,4927,1104 . 0
1103 . 0,1103 . 0,4927,1105 . 0
1103 . 0,1103 . 0,4927,1106 . 0
1103 . 0,1103 . 0,4927,1107 . 0
1103 . 0,1103 . 0,4927,1108 . 0
1103 . 0,1103 . 0,4927,1109 . 0
1103 . 0,1195 . 0,5085,1195 . 0
1103 . 0,1195 . 0,5085,1196 . 0
1103 . 0,1102 . 0,23521,1102 . 0
1103 . 0,1101 . 0,25246,1101 . 0
1113 . 0,1113 . 0,5103,1113 . 0
1113 . 0,1113 . 0,5103,1114 . 0
1113 . 0,1113 . 0,5103,1115 . 0
1113 . 0,1113 . 0,5103,1116 . 0
1113 . 0,1113 . 0,5103,1117 . 0
1113 . 0,1113 . 0,5103,1118 . 0
1113 . 0,1113 . 0,5103,1119 . 0
1113 . 0,1110 . 0,23728,1110 . 0
1113 . 0,1133 . 0,24037,1133 . 0
1113 . 0,1111 . 0,24221,1111 . 0
1123 . 0,1512 . 0,4930,1512 . 0
1123 . 0,1512 . 0,4930,1612 . 0
1123 . 0,1121 . 0,4932,1121 . 0
1123 . 0,1121 . 0,4932,1211 . 0
1123 . 0,1127 . 0,5111,1127 . 0
1123 . 0,1127 . 0,5111,1172 . 0
1123 . 0,1123 . 0,5127,1123 . 0
1123 . 0,1123 . 0,5127,1124 . 0
1123 . 0,1123 . 0,5127,1125 . 0
1123 . 0,1123 . 0,5127,1126 . 0
1123 . 0,1123 . 0,5127,1128 . 0
1123 . 0,1123 . 0,5127,1129 . 0
1123 . 0,1123 . 0,5127,1132 . 0
1123 . 0,1120 . 0,23106,1120 . 0
1123 . 0,1122 . 0,23212,1122 . 0
1123 . 0,1192 . 0,24338,1192 . 0
1123 . 0,1112 . 0,24671,1112 . 0
11250 . 0,11250 . 0,4779,11200 . 0
11250 . 0,11250 . 0,4779,11250 . 0
11250 . 0,11250 . 0,4779,12150 . 0
11250 . 0,11250 . 0,4779,12510 . 0
11250 . 0,12200 . 0,4780,12200 . 0
11250 . 0,12200 . 0,4780,12300 . 0
11250 . 0,12200 . 0,4780,13200 . 0
11250 . 0,12600 . 0,4781,12600 . 0
11250 . 0,12600 . 0,4781,12800 . 0
11250 . 0,12600 . 0,4781,12900 . 0
1131 . 0,1131 . 0,4954,1131 . 0
